a,cx,cz,cy,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,-2.1,17.9,0.4,5.9,25.5,2.2,2.1,-4.319311344530433,,,-1.7826304079499096,-1.8802458634600043,-0.0167984426952898,-0.6831889622844756,-0.0640624957159161,-0.8668172133620828,-0.1258283052593469,-0.9651794059900568,-0.4119728651130572,-0.1694590754341334,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.4_cz=17.9.log
7.3,-0.1,18.3,-2.1,5.9,25.5,0.0,0.0,-3.1651290649315342,,,-0.8868159572593868,-0.5851467999164015,-0.7128513599745929,-0.0624309701379388,-0.7376380050554872,-0.0595193235203623,-0.6894515121821314,-0.1750752901425585,-0.1661018970189616,-0.6122991576557979,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.1_cz=18.3.log
7.3,-2.0,17.8,-0.1,5.9,25.5,0.0,0.0,-4.6166130328783765,,,-1.799108820501715,-1.748908020555973,-0.1607680621091276,-0.2294992324896156,-0.2539407468866557,-0.1369352319743484,-1.0184801055584105,-1.0483056557131931,-0.1889746364904567,-0.1962725778575986,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=-0.1_cz=17.8.log
7.3,1.4,18.4,-1.0,5.9,25.5,2.2,2.1,-4.762148289708421,,,-1.0815762360580266,-1.4143322387244552,-0.0702246441505849,-0.2416478260420262,-0.0267821266315877,-0.3008910450153053,-0.0695532084209844,-0.1453877920284867,-1.9026918961899355,-1.076788334758021,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-1.0_cz=18.4.log
7.3,0.1,18.6,1.3,5.9,25.5,2.2,2.1,-5.432266218704172,,,-1.076148274587467,-1.027679402148351,-0.0218059723265469,-1.7402232822496444,-0.0201179708819836,-1.7408068666700274,-0.049705067067407,-0.3977974142180756,-1.9486695539671928,-0.2227032990194857,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.3_cz=18.6.log
7.3,-2.1,18.0,0.4,5.9,25.5,2.2,2.1,-4.225762153975666,,,-1.7468309623654932,-1.7882528975605965,-0.0152233927510678,-0.6593624074012041,-0.0606927671469748,-0.829743922688067,-0.1145833259215578,-0.9989206189056858,-0.3994163901079446,-0.1627886440837755,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.4_cz=18.0.log
7.3,-0.1,18.4,-2.1,5.9,25.5,0.0,0.0,-3.112540589179844,,,-0.9679592752363532,-0.7590298207942396,-0.6571849479805678,-0.0593749962281435,-0.6752823363058269,-0.0565386509988456,-0.6360755115747452,-0.1652610338060185,-0.1571536044357344,-0.566365425591357,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.1_cz=18.4.log
7.3,-2.0,17.9,-0.1,5.9,25.5,0.0,0.0,-4.61412809335161,,,-1.8148279460147023,-1.7906688111834228,-0.1478915568441152,-0.2185617329087108,-0.2415348740760237,-0.1266189678572118,-1.039520515827462,-1.0349145923973992,-0.1813315646722912,-0.188309476012364,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=-0.1_cz=17.9.log
7.3,1.4,18.2,-0.9,5.9,25.5,2.2,2.1,-5.020192951895297,,,-0.8411834302823991,-1.4750689317006618,-0.078664653468877,-0.2986257337033748,-0.0317331808619201,-0.3461094156373292,-0.0770143022527918,-0.1643511441070586,-2.006808355567045,-1.2363264771411195,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-0.9_cz=18.2.log
7.3,0.1,18.4,1.4,5.9,25.5,2.2,2.1,-5.702672828105278,,,-1.009933419292793,-0.8736570726614445,-0.0239959824830293,-1.86147703952156,-0.0222389544360339,-1.915888431714848,-0.0546937716426327,-0.4730986142531037,-2.0794300879351795,-0.2418549042195081,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.4_cz=18.4.log
7.3,-2.1,17.8,0.5,5.9,25.5,2.2,2.1,-4.287396186729893,,,-1.6610503455158323,-1.954066140111536,-0.0175702800042927,-0.7491779138799757,-0.0653175159823149,-0.9154366885777564,-0.1329756440827623,-0.8692896030843258,-0.4311746711609885,-0.1726468263659626,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.5_cz=17.8.log
7.3,-0.1,18.2,-2.0,5.9,25.5,0.0,0.0,-3.1050951827783138,,,-0.7272589895874262,-0.2929906940553337,-0.744716317858547,-0.0689884494058787,-0.7688189768232405,-0.0658885498996824,-0.7383847419405356,-0.1946034012362361,-0.1837537533137947,-0.654022297472693,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.0_cz=18.2.log
7.3,-2.0,17.7,0.0,5.9,25.5,0.0,0.0,-4.486520797596313,,,-1.6646397029981015,-1.6646397029981015,-0.1605923592578619,-0.2534826644696295,-0.2535328653175384,-0.1605923592578619,-1.0032253373647109,-1.0032253373647109,-0.2006651478586718,-0.2006651478586718,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=0.0_cz=17.7.log
7.3,1.4,18.3,-0.9,5.9,25.5,2.2,2.1,-4.983675007242709,,,-1.055038837948814,-1.4586846455931664,-0.0732617925386875,-0.2803965683560818,-0.0286019057966768,-0.3325489244889468,-0.0727848849492147,-0.1567394477315247,-1.998205193434842,-1.1416791437659413,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-0.9_cz=18.3.log
7.3,0.1,18.5,1.4,5.9,25.5,2.2,2.1,-5.653949813917279,,,-1.0932165465783328,-1.0036269437987355,-0.0225087834987789,-1.8216176044661552,-0.0208145068027079,-1.8596949111670256,-0.0514118942664936,-0.4377698013558984,-2.026863574981689,-0.2271648951573297,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.4_cz=18.5.log
7.3,-2.1,17.9,0.5,5.9,25.5,2.2,2.1,-4.326355144730769,,,-1.7215611347928643,-1.87818135577254,-0.0159638545010238,-0.7235817809123546,-0.0619415121618658,-0.9006776532623917,-0.121021578554064,-0.9702810622984545,-0.4181601136224344,-0.1659387445542961,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.5_cz=17.9.log
7.3,-0.1,18.3,-2.0,5.9,25.5,0.0,0.0,-3.1720724627375603,,,-0.9163528529461472,-0.6164909244980663,-0.6874811307061464,-0.065574794774875,-0.7052522138692439,-0.062556471908465,-0.682203771546483,-0.1836031511193141,-0.173763794125989,-0.6056475515943021,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.0_cz=18.3.log
7.3,-2.0,17.8,0.0,5.9,25.5,0.0,0.0,-4.623255226179026,,,-1.7761294045485556,-1.7761294045485556,-0.14809236000292,-0.241359171224758,-0.2414470226503908,-0.14809236000292,-1.0361696121981367,-1.0361696121981367,-0.1926455701468512,-0.1926455701468512,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=0.0_cz=17.8.log
7.3,1.4,18.4,-0.9,5.9,25.5,2.2,2.1,-4.846394644584507,,,-1.1468749267514795,-1.4040787254925815,-0.0682103368453681,-0.2631776940543204,-0.0258345867041498,-0.3193649393506348,-0.0687876461306586,-0.1494101308053359,-1.9646334084682169,-1.0497928545810282,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-0.9_cz=18.4.log
7.3,0.1,18.6,1.4,5.9,25.5,2.2,2.1,-5.502236720756628,,,-1.0993033933918923,-1.041559923207387,-0.0211094361729919,-1.7644514432176948,-0.0194841853808611,-1.7930909995920956,-0.0483245451468974,-0.4050263294484466,-1.9660264806589112,-0.2133596750209108,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.4_cz=18.6.log
7.3,-2.1,18.0,0.5,5.9,25.5,2.2,2.1,-4.258593477192335,,,-1.706638946896419,-1.7809298557695,-0.0144703804980963,-0.6984123548027128,-0.0587286609224975,-0.8760792610701174,-0.1102848824812099,-1.0157880876213312,-0.4054593114415183,-0.1594314656686037,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.5_cz=18.0.log
7.3,-0.1,18.4,-2.0,5.9,25.5,0.0,0.0,-3.121786948642693,,,-1.0010039517655969,-0.7940574290696532,-0.6295054818037897,-0.0623180181719362,-0.643229125533253,-0.0593812714796513,-0.6292921283748001,-0.1731802097056061,-0.1642883931053802,-0.5602785785449669,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.0_cz=18.4.log
