a,b,theta,R3,R4,cx,cz,cy,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,5.9,25.5,-0.1,2.1,-1.5,18.4,-1,-4.825426398,-1.415744136,-1.120538332,-0.025514557,-0.295971367,-0.070971381,-0.232630507,-1.111822218,-1.925081453,-0.140010031,-0.067827556,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-1.0_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,1.9,17.9,0.6,-4.482062339,-1.810360075,-1.344917082,-0.05958835,-0.953633222,-0.017118473,-0.839802908,-0.178175189,-0.488936967,-1.186295105,-0.115945023,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.6_cz=17.9.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.4,1.3,-5.679329456,-0.764821738,-0.997929153,-0.022075802,-1.879003394,-0.025709085,-1.853281759,-0.261972875,-2.151060354,-0.439150323,-0.055735438,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.3_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.2,-0.9,-5.082576859,-1.545186899,-0.981049134,-0.030252257,-0.339689988,-0.079354915,-0.287863937,-1.269854337,-1.948136171,-0.157906616,-0.07498117,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,1.9,18,0.6,-4.469301923,-1.768329455,-1.496573699,-0.056444525,-0.958132469,-0.015581073,-0.809117669,-0.170914899,-0.473544146,-1.16688622,-0.105867212,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.6_cz=18.0.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.5,1.3,-5.646661285,-0.936514749,-1.087029298,-0.020632529,-1.807147224,-0.02412776,-1.797954202,-0.245550938,-2.104442636,-0.407555195,-0.052409635,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.3_cz=18.5.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.3,-0.9,-5.037807158,-1.494647244,-1.136985369,-0.027252759,-0.32663778,-0.073983429,-0.270174431,-1.1765938,-1.974723769,-0.150715352,-0.070933731,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,2,17.8,0.4,-4.413274693,-1.867865091,-1.581168323,-0.067564002,-0.928011989,-0.019540661,-0.738240415,-0.185071524,-0.455622461,-1.033446219,-0.137939248,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.4_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.6,1.3,-5.507165812,-1.004436431,-1.100395261,-0.019264557,-1.730383926,-0.022628011,-1.728727299,-0.230045166,-2.046761917,-0.378156351,-0.049284635,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.3_cz=18.6.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.4,-0.9,-4.895578879,-1.415668835,-1.189464031,-0.024592117,-0.313905603,-0.068931973,-0.253470114,-1.083967049,-1.967708207,-0.143787641,-0.067099644,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.4.log
