cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.4,0.9,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.856360131,-1.166689182,0.106174692,-0.037740962,-1.485092777,-0.030991464,-1.239971055,-0.066453937,-0.330116068,-2.165590976,-0.367043777,2,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=0.9_cz=13.5.log
0.6,1.1,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.772712734,-1.380880936,-0.412310465,-0.036920178,-0.759341066,-0.02649661,-1.362595294,-0.061244976,-0.308690367,-2.050724643,-0.362780474,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=1.1_cz=13.5.log
0.6,0.9,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.749463175,-1.223722311,0.370917396,-0.041932728,-1.389170343,-0.030734185,-1.24621478,-0.06807103,-0.318177063,-2.152360555,-0.430426052,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=0.9_cz=13.4.log
0.5,1,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.716901367,-1.234233104,0.400191992,-0.039608431,-1.205862122,-0.030923065,-1.374969792,-0.067656246,-0.341059215,-2.17292845,-0.392555196,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=1.0_cz=13.4.log
0.5,0.9,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.700829268,-1.131819707,0.597023054,-0.041031624,-1.455928622,-0.032077056,-1.279657298,-0.069322285,-0.335030099,-2.213042655,-0.411688603,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=0.9_cz=13.4.log
0.6,1,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.686933686,-1.318780036,0.202542658,-0.04048569,-1.112625431,-0.029631022,-1.339381189,-0.066465232,-0.323717349,-2.067775972,-0.409794778,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=1.0_cz=13.4.log
0.4,1,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.665437076,-1.136635218,0.577094591,-0.038689757,-1.301197206,-0.032217618,-1.40721,-0.068819649,-0.359597115,-2.191668409,-0.375924298,2,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=1.0_cz=13.4.log
0.4,1.1,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.632031581,-1.211992894,0.351650329,-0.03734563,-0.912390755,-0.03106049,-1.505680125,-0.067100272,-0.366091217,-2.166904354,-0.358525956,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=1.1_cz=13.4.log
0.5,1.1,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.607830403,-1.306942687,0.203590599,-0.038239204,-0.775283585,-0.02980547,-1.472227566,-0.065993344,-0.346960319,-2.111456316,-0.373966467,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=1.1_cz=13.4.log
0.4,0.9,13.4,-2,7.4,5.7,25.5,2.1,1.9,-4.585191724,-1.030522022,0.80072284,-0.040086594,-1.521121891,-0.033417417,-1.310022507,-0.070544674,-0.352931704,-2.200676315,-0.393815236,2,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=0.9_cz=13.4.log
