cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.339884823595639,-1.0155985795427114,-0.5184286816511303,-0.0318034617230296,-1.4734788212226704,-0.0284563234308734,-1.8825802007922905,-0.0621536105172708,-0.4329329541651532,-2.086568013939541,-0.2830572107923217,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.4_cz=13.4.log
0.3,1.2,13.6,-1.0,7.4,5.8,25.5,2.1,1.9,-5.284485103620682,-1.1969037887174636,-0.7756224403856322,-0.0308358415495604,-1.5332993495976552,-0.0259262032341212,-1.507814913522452,-0.0577729630749672,-0.3419057261780835,-2.0671296367654577,-0.282475509098731,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.2_cz=13.6.log
0.3,1.2,13.4,-1.5,7.4,5.8,25.5,2.1,1.9,-4.993380077125039,-1.1082692564232275,0.0364796663634479,-0.0343386023305356,-1.390591025352478,-0.0298995965858921,-1.6021974375471473,-0.0653200259548612,-0.3919885542127304,-2.150400213780813,-0.3212631572387181,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.2_cz=13.4.log
0.2,1.4,13.5,-0.5,7.4,5.8,25.5,2.1,1.9,-5.431075204629451,-1.141804645769298,-0.8098430705722421,-0.0299698775634169,-1.4918259588303044,-0.026679215254262,-1.813939391868189,-0.0585416628746315,-0.4021454312023707,-2.047508654068224,-0.2658483765553683,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.4_cz=13.5.log
0.3,1.3,13.4,-1.0,7.4,5.8,25.5,2.1,1.9,-5.209075971622951,-1.1142243263311684,-0.2864118793513626,-0.0335203292779624,-1.3796459960285574,-0.0286508514545857,-1.7596321664750576,-0.0633320742053911,-0.400839582667686,-2.136574285919778,-0.307287254370749,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.3_cz=13.4.log
0.2,1.4,13.6,-0.5,7.4,5.8,25.5,2.1,1.9,-5.380765217880253,-1.1743636296596378,-0.9612599787069483,-0.0282417151611298,-1.483972043497488,-0.0250037633813917,-1.7390862342435869,-0.0551443238509818,-0.3734644589130766,-1.9966351633775048,-0.2495575894135981,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.4_cz=13.6.log
0.3,1.2,13.5,-1.5,7.4,5.8,25.5,2.1,1.9,-5.150792215601541,-1.2102935973089188,-0.4174121220130473,-0.0323908112477511,-1.3983809346100315,-0.027912899851799,-1.5235716896131637,-0.0615512008662335,-0.3653356943977996,-2.1180175602203235,-0.3009067327948287,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.2_cz=13.5.log
0.3,1.3,13.5,-1.0,7.4,5.8,25.5,2.1,1.9,-5.332065421680454,-1.2096422418253496,-0.6479040751000866,-0.0316126986872404,-1.401007691398263,-0.026792166987434,-1.680471779895015,-0.0596912612672895,-0.373353389732074,-2.112213720276486,-0.2880917234579101,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.2,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.2865696917288005,-0.9215875413501636,-0.2583308068569749,-0.0351079296087846,-1.723866606480442,-0.0294954801211133,-1.7289808129426092,-0.0648349606781266,-0.3957278863526881,-2.1546578691340983,-0.3226643868838437,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.3_cy=1.2_cz=13.4.log
0.3,1.2,13.6,-1.5,7.4,5.8,25.5,2.1,1.9,-5.148440308170393,-1.2251153835095463,-0.685417877859436,-0.0305471867322921,-1.384706236771308,-0.0260404099244624,-1.4444690342061222,-0.0580038867774419,-0.340383386821486,-2.0701780804083683,-0.2817268896615132,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.2_cz=13.6.log
0.3,1.3,13.6,-1.0,7.4,5.8,25.5,2.1,1.9,-5.305549359240104,-1.220558405853808,-0.8508746944135055,-0.0298130002338439,-1.3958909750217572,-0.0250389039283618,-1.5992556707933543,-0.0562543889391236,-0.3476267347577959,-2.071021453826688,-0.2699309565941803,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.3_cz=13.6.log
0.4,1.0,13.4,-1.5,7.4,5.8,25.5,2.1,1.9,-4.865169116354082,-1.0257077657151967,0.3776355179725215,-0.0378024574602022,-1.6408319731708616,-0.030884787091054,-1.3771949419751763,-0.0677704525878652,-0.3580070052994415,-2.203886028553825,-0.3681124261929653,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.4_cy=1.0_cz=13.4.log
0.4,1.1,13.4,-1.0,7.4,5.8,25.5,2.1,1.9,-5.126601704745553,-1.021681661484763,-0.0034839353756979,-0.0369189233751967,-1.6602308173896745,-0.0296184719773009,-1.5424685257021338,-0.0658333291648887,-0.3664194041630253,-2.195341224898584,-0.3518065788666717,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.4_cy=1.1_cz=13.4.log
0.3,1.2,13.5,-0.5,7.4,5.8,25.5,2.1,1.9,-5.397514087148011,-1.0827710151206702,-0.6345217968337238,-0.0330534616950899,-1.6722388487542048,-0.0275840844260528,-1.6496723340824246,-0.0610699006356298,-0.3686370245995931,-2.1155840764404275,-0.3023023150162771,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.3_cy=1.2_cz=13.5.log
0.3,1.2,13.6,-0.5,7.4,5.8,25.5,2.1,1.9,-5.3596959420247,-1.1447765331249684,-0.847110889502801,-0.0311094358330592,-1.607703210436739,-0.0257881510769948,-1.5686670681461692,-0.0575207040528766,-0.34328248311067,-2.0632064440869726,-0.2831086667138152,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.3_cy=1.2_cz=13.6.log
0.4,1.0,13.5,-1.5,7.4,5.8,25.5,2.1,1.9,-5.060260092781391,-1.1588114218320698,-0.1833019462646916,-0.0356237427331507,-1.583231575321406,-0.0287499981932342,-1.304809153545648,-0.0638604376581497,-0.3346492003765888,-2.1709875618689694,-0.3434989739325829,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.4_cy=1.0_cz=13.5.log
0.4,1.1,13.5,-1.0,7.4,5.8,25.5,2.1,1.9,-5.27497016947018,-1.1510943038156256,-0.4525589570403099,-0.0347841342445462,-1.6091013026889414,-0.0276342855067923,-1.465778018697165,-0.0620469337445683,-0.3422263836837373,-2.1716439373558387,-0.3285774136893451,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.4_cy=1.1_cz=13.5.log
0.3,1.3,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.362509069440421,-1.0368435581913218,-0.3766503272345289,-0.0338842849014326,-1.6103789129992947,-0.0284425183199346,-1.8125237295171248,-0.0630710301338695,-0.402755998307839,-2.139367332914844,-0.3079530425020493,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.3_cy=1.3_cz=13.4.log
0.4,1.0,13.6,-1.5,7.4,5.8,25.5,2.1,1.9,-5.082685417670291,-1.2003789391601458,-0.5251279784133658,-0.0335604898864403,-1.5161934269126505,-0.0267607914283871,-1.2332479131873697,-0.0601826015627011,-0.3128187551046721,-2.12164707807824,-0.3204022134304978,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.4_cy=1.0_cz=13.6.log
0.4,1.1,13.6,-1.0,7.4,5.8,25.5,2.1,1.9,-5.264753679104615,-1.1912587089464068,-0.7163265104172751,-0.032772337202914,-1.545209489413537,-0.0257668156409636,-1.3890410757157952,-0.0584795394097454,-0.3195971181849018,-2.129696148855146,-0.3067934039863758,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.4_cy=1.1_cz=13.6.log
