cx,cy,cz,A2,a,b,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
0.4,1.3,13.4,-1,7.4,5.8,-5.167895,-1.213830244,-0.295981407,-0.034405118,-1.27104535,-0.027556474,-1.732306616,-0.06241089,-0.379439609,-2.119179081,-0.319302816
0.4,1.2,13.4,-0.5,7.4,5.8,-5.309155346,-1.018369664,-0.263673427,-0.036040409,-1.675356946,-0.028377257,-1.701861086,-0.063865458,-0.374727009,-2.172783496,-0.335939989
0.4,1.2,13.5,-1.5,7.4,5.8,-5.178639854,-1.275553382,-0.464423916,-0.0332505,-1.312231342,-0.026810992,-1.495932384,-0.060676452,-0.346632759,-2.154652849,-0.312576536
0.4,1.3,13.5,-1,7.4,5.8,-5.314490122,-1.271425621,-0.655882237,-0.032472387,-1.310077727,-0.025741715,-1.653777505,-0.058868596,-0.35405432,-2.128067133,-0.298811477
0.4,1.2,13.5,-0.5,7.4,5.8,-5.433063784,-1.143545359,-0.639343583,-0.033952056,-1.632419574,-0.026522338,-1.62334076,-0.060203937,-0.349718853,-2.159497226,-0.314081933
0.4,1.2,13.6,-1.5,7.4,5.8,-5.184526526,-1.263758704,-0.719185446,-0.031376755,-1.308649515,-0.024994978,-1.418357088,-0.057216362,-0.32361632,-2.128398458,-0.292134143
0.4,1.3,13.6,-1,7.4,5.8,-5.307180258,-1.25693516,-0.857331773,-0.030635038,-1.31685609,-0.024038653,-1.573555371,-0.055521457,-0.330304321,-2.112095121,-0.279583315
0.4,1.2,13.6,-0.5,7.4,5.8,-5.405964137,-1.181962776,-0.851232375,-0.031984185,-1.572788554,-0.02477033,-1.543456227,-0.056754514,-0.326324653,-2.126175818,-0.293611929
0.5,1,13.4,-1.5,7.4,5.8,-4.948778549,-1.123989637,0.229549433,-0.038714857,-1.593886695,-0.029649848,-1.345789321,-0.066643444,-0.33964418,-2.207038639,-0.384211823
0.5,1.1,13.4,-1,7.4,5.8,-5.146001804,-1.116773272,-0.088751249,-0.037825048,-1.609347287,-0.028440008,-1.509597042,-0.064769072,-0.34731549,-2.171760027,-0.366790263
0.4,1.3,13.4,-0.5,7.4,5.8,-5.327710502,-1.132014235,-0.356558712,-0.034784134,-1.532976809,-0.027360691,-1.78900591,-0.062162396,-0.381227385,-2.127954809,-0.320015667
0.5,1,13.5,-1.5,7.4,5.8,-5.136863376,-1.219730093,-0.285028847,-0.036503512,-1.542723295,-0.027572789,-1.275406545,-0.062849519,-0.318173298,-2.204376741,-0.357981277
0.4,1.3,13.5,-0.5,7.4,5.8,-5.45508311,-1.217735866,-0.702157335,-0.032802458,-1.529789059,-0.025593623,-1.711700443,-0.058616337,-0.35563941,-2.131418036,-0.299519936
0.5,1.1,13.5,-1,7.4,5.8,-5.304317557,-1.210193196,-0.512356895,-0.035665158,-1.566558635,-0.026514807,-1.434564416,-0.061096256,-0.325082183,-2.183183219,-0.342029346
0.5,1,13.6,-1.5,7.4,5.8,-5.156821331,-1.236976577,-0.595003727,-0.034415158,-1.479315919,-0.025640059,-1.205854591,-0.059277105,-0.297970613,-2.177627245,-0.333343352
0.4,1.3,13.6,-0.5,7.4,5.8,-5.43077902,-1.225377683,-0.891969069,-0.030923693,-1.499994884,-0.023923191,-1.631758179,-0.055275473,-0.331687353,-2.111552325,-0.280290519
0.5,1.1,13.6,-1,7.4,5.8,-5.304086633,-1.227007954,-0.758516518,-0.033620731,-1.507319181,-0.024703814,-1.359590776,-0.057627381,-0.304231908,-2.168075288,-0.31877257
0.4,1.4,13.4,-0.5,7.4,5.8,-5.216025018,-1.214494149,-0.417459813,-0.033581825,-1.244656045,-0.026381776,-1.86184225,-0.060463099,-0.38745354,-2.064133904,-0.304766547
0.5,1.1,13.4,-1.5,7.4,5.8,-5.011824478,-1.228816437,0.046004013,-0.037377006,-1.460432888,-0.028594376,-1.442546343,-0.064980543,-0.345737302,-2.159303326,-0.365921789
0.5,1.2,13.4,-1,7.4,5.8,-5.156873415,-1.223559159,-0.220805709,-0.036513552,-1.458689666,-0.027435992,-1.605938652,-0.063104916,-0.353360921,-2.104846125,-0.349090088
0.4,1.4,13.5,-0.5,7.4,5.8,-5.367938286,-1.266735612,-0.740503216,-0.031689255,-1.302767236,-0.024693774,-1.788978299,-0.057040659,-0.3613121,-2.086360936,-0.285540895
0.5,1.1,13.5,-1.5,7.4,5.8,-5.190215531,-1.286743141,-0.412330546,-0.035271082,-1.443914315,-0.026630269,-1.369113868,-0.061302707,-0.323695386,-2.177052446,-0.341163382
0.5,1.2,13.5,-1,7.4,5.8,-5.318322953,-1.27852527,-0.604623455,-0.034456574,-1.455564666,-0.025591113,-1.529112603,-0.059546306,-0.330564738,-2.138517685,-0.325757384
0.4,1.4,13.6,-0.5,7.4,5.8,-5.364158166,-1.24936488,-0.912482371,-0.029898341,-1.321932646,-0.023107428,-1.711706718,-0.053810865,-0.3368367,-2.081860434,-0.267403974
0.5,1.1,13.6,-1.5,7.4,5.8,-5.204697835,-1.274637218,-0.683158842,-0.033281875,-1.406621396,-0.024786645,-1.29611312,-0.057836342,-0.303009519,-2.166624485,-0.317927941
0.5,1.2,13.6,-1,7.4,5.8,-5.322018987,-1.265444196,-0.822939204,-0.032515058,-1.426036555,-0.023856675,-1.45173811,-0.056189128,-0.309194257,-2.141500867,-0.303869835
0.4,0.9,13.4,-2,7.4,5.7,-4.585191724,-1.030522022,0.80072284,-0.040086594,-1.521121891,-0.033417417,-1.310022507,-0.070544674,-0.352931704,-2.200676315,-0.393815236
0.5,1.2,13.4,-1.5,7.4,5.8,-4.958149783,-1.303822708,-0.116647834,-0.0360881,-1.187227585,-0.02759036,-1.539792823,-0.063322034,-0.351669782,-2.089382396,-0.348190866
0.5,1.3,13.4,-1,7.4,5.8,-5.039502062,-1.300469294,-0.322954296,-0.035253512,-1.160441693,-0.026455822,-1.699757672,-0.061458957,-0.359215589,-2.014179088,-0.331982283
0.4,0.9,13.5,-2,7.4,5.7,-4.856360131,-1.166689182,0.106174692,-0.037740962,-1.485092777,-0.030991464,-1.239971055,-0.066453937,-0.330116068,-2.165590976,-0.367043777
0.5,1.2,13.5,-1.5,7.4,5.8,-5.146377683,-1.329814172,-0.525764274,-0.034087598,-1.225774269,-0.02571034,-1.464037306,-0.059764052,-0.329063734,-2.13008395,-0.324871967
0.4,0.9,13.6,-2,7.4,5.7,-4.931998931,-1.209295856,-0.327816244,-0.035524596,-1.436465772,-0.028733683,-1.17091358,-0.062601025,-0.308746215,-2.114359177,-0.341917649
0.5,1.3,13.5,-1,7.4,5.8,-5.224758702,-1.322941682,-0.675077768,-0.033295681,-1.218421107,-0.024692518,-1.622176101,-0.05801079,-0.335875355,-2.072516183,-0.310053946
0.4,1,13.4,-2,7.4,5.7,-4.665437076,-1.136635218,0.577094591,-0.038689757,-1.301197206,-0.032217618,-1.40721,-0.068819649,-0.359597115,-2.191668409,-0.375924298
0.5,1.2,13.6,-1.5,7.4,5.8,-5.172578108,-1.294199214,-0.762492421,-0.032186243,-1.232715785,-0.023945782,-1.388208998,-0.056403109,-0.307883389,-2.13840787,-0.303009519
0.5,1.3,13.6,-1,7.4,5.8,-5.25019984,-1.28577552,-0.870631219,-0.031439506,-1.237811166,-0.023039657,-1.543240363,-0.054763425,-0.314000356,-2.095937366,-0.289529977
0.4,1,13.5,-2,7.4,5.7,-4.91578721,-1.235508204,-0.043209084,-0.036454566,-1.309895749,-0.029909637,-1.333707244,-0.064850648,-0.336121966,-2.169873104,-0.35059925
0.4,1,13.7,-1.5,7.4,5.8,-4.991785574,-1.180677635,-0.723562956,-0.031615209,-1.444919586,-0.024902107,-1.162769755,-0.056713726,-0.292382009,-2.059692388,-0.298773826
0.4,0.9,13.4,-2.5,7.5,5.7,-4.362326528,-1.138832759,0.971844817,-0.039572036,-1.306558651,-0.033576805,-1.243994649,-0.070085337,-0.342105902,-2.170719615,-0.384070633
0.5,1,13.5,-2.5,7.5,5.7,-4.702790236,-1.341862364,-0.048534133,-0.036903863,-0.891211037,-0.028781374,-1.238739881,-0.063433103,-0.30999998,-2.179458947,-0.35688188
0.4,1.1,13.7,-1.5,7.4,5.8,-5.06749089,-1.199897012,-0.791661596,-0.030596133,-1.406718032,-0.024087599,-1.25092738,-0.055333204,-0.297343731,-2.07721937,-0.28565071
0.4,1,13.6,-2,7.4,5.7,-4.979417352,-1.249303384,-0.426838577,-0.034349897,-1.297765981,-0.027763552,-1.261018996,-0.061113826,-0.314183589,-2.128741079,-0.326858664
0.4,0.9,13.5,-2.5,7.5,5.7,-4.6576867,-1.241018997,0.221369213,-0.037291664,-1.303705991,-0.031116966,-1.176203489,-0.066061115,-0.320412881,-2.129079934,-0.358148822
0.4,1.2,13.7,-1.5,7.4,5.8,-5.084492647,-1.205347563,-0.854396281,-0.029602157,-1.288970801,-0.023285641,-1.341050366,-0.053960212,-0.30215485,-2.08409437,-0.27295681
0.4,0.9,13.6,-2.5,7.5,5.7,-4.751914856,-1.256266235,-0.250641299,-0.035139305,-1.284642237,-0.028812749,-1.109521766,-0.062271582,-0.300011276,-2.073256644,-0.333863558
0.4,1.1,13.4,-2,7.4,5.7,-4.632031581,-1.211992894,0.351650329,-0.03734563,-0.912390755,-0.03106049,-1.505680125,-0.067100272,-0.366091217,-2.166904354,-0.358525956
0.5,1,13.7,-1.5,7.4,5.8,-5.065582633,-1.20171428,-0.771239911,-0.032446032,-1.410331235,-0.02383785,-1.137537578,-0.055906121,-0.278974631,-2.131882394,-0.310266044
0.4,1,13.4,-2.5,7.5,5.7,-4.354565484,-1.211011469,0.766761999,-0.038197789,-0.945288594,-0.032382026,-1.339176621,-0.068397962,-0.348315741,-2.171457567,-0.366746964
0.4,1.1,13.5,-2,7.4,5.7,-4.878789221,-1.279161565,-0.19581324,-0.035223391,-0.988171373,-0.02887048,-1.429551866,-0.063256146,-0.342006128,-2.160503752,-0.334627238
0.4,1,13.5,-2.5,7.5,5.7,-4.640480375,-1.28229535,0.086880015,-0.036029114,-1.00402604,-0.030023843,-1.267911565,-0.064496733,-0.326036626,-2.140990074,-0.342253994
0.5,1.1,13.7,-1.5,7.4,5.8,-5.110374924,-1.217904038,-0.830601101,-0.0314006,-1.358047102,-0.023054717,-1.223909309,-0.054572035,-0.283603144,-2.133565376,-0.296175935
0.4,1.1,13.6,-2,7.4,5.7,-4.945799759,-1.269839276,-0.529423912,-0.033216614,-1.033112384,-0.026834838,-1.353655787,-0.059631648,-0.319478519,-2.131425566,-0.312222621
0.4,1,13.6,-2.5,7.5,5.7,-4.733986896,-1.275189426,-0.337782358,-0.033979667,-1.037857614,-0.027832579,-1.197694452,-0.060815759,-0.305158113,-2.093515805,-0.319329171
0.5,1.2,13.7,-1.5,7.4,5.8,-5.089819579,-1.221547362,-0.884022283,-0.030387799,-1.220356348,-0.022286645,-1.312709504,-0.053238576,-0.288046543,-2.120312992,-0.282566498
0.5,0.9,13.4,-2,7.4,5.7,-4.700829268,-1.131819707,0.597023054,-0.041031624,-1.455928622,-0.032077056,-1.279657298,-0.069322285,-0.335030099,-2.213042655,-0.411688603
0.4,1.1,13.4,-2.5,7.5,5.7,-4.222214212,-1.253801376,0.545395296,-0.036882528,-0.371256251,-0.031218622,-1.4369979,-0.066713726,-0.354390665,-2.158804455,-0.349924676
0.6,1,13.5,-1.5,7.4,5.8,-5.15216458,-1.274900772,-0.400169402,-0.03735316,-1.499057384,-0.026400601,-1.242876426,-0.061816638,-0.302567124,-2.174486558,-0.372915388
0.5,0.9,13.5,-2,7.4,5.7,-4.953461656,-1.229367391,-0.030898592,-0.038654616,-1.428407288,-0.029722639,-1.211576228,-0.065354539,-0.313985924,-2.206664015,-0.383143801
0.4,1.1,13.5,-2.5,7.5,5.7,-4.514383496,-1.300137969,-0.060239705,-0.03481551,-0.516962818,-0.028973392,-1.362419592,-0.062930468,-0.331517926,-2.141329557,-0.326831053
0.6,1,13.6,-1.5,7.4,5.8,-5.182026526,-1.269554387,-0.674164113,-0.035245982,-1.439885701,-0.024526856,-1.17561363,-0.058344625,-0.283811478,-2.183669539,-0.34670555
0.5,0.9,13.6,-2,7.4,5.7,-5.018944834,-1.246709257,-0.4201192,-0.03641315,-1.385052622,-0.027528864,-1.144477838,-0.061615834,-0.29416853,-2.176669037,-0.356340966
0.4,1.1,13.6,-2.5,7.5,5.7,-4.622314275,-1.276818442,-0.434686217,-0.032863954,-0.627585929,-0.026897589,-1.28860308,-0.059362446,-0.310132385,-2.10386972,-0.305222119
0.6,1,13.7,-1.5,7.4,5.8,-5.100683032,-1.219600826,-0.825137999,-0.033249245,-1.373458748,-0.022781123,-1.109723825,-0.055079063,-0.266106911,-2.16535817,-0.322163007
0.5,0.9,13.4,-2.5,7.5,5.7,-4.49908794,-1.239849318,0.747398296,-0.040496985,-1.217216288,-0.032217618,-1.214758958,-0.068843495,-0.324892048,-2.205225135,-0.401556827
0.5,1,13.4,-2,7.4,5.7,-4.716901367,-1.234233104,0.400191992,-0.039608431,-1.205862122,-0.030923065,-1.374969792,-0.067656246,-0.341059215,-2.17292845,-0.392555196
0.5,0.9,13.5,-2.5,7.5,5.7,-4.768071984,-1.302384455,0.071364202,-0.038186494,-1.225267241,-0.02982806,-1.148859113,-0.06494603,-0.30479353,-2.18783746,-0.373914384
0.6,1.1,13.5,-1.5,7.4,5.8,-5.142145128,-1.334920848,-0.506324014,-0.03610065,-1.383470042,-0.025490711,-1.334671099,-0.060317516,-0.307668781,-2.108692762,-0.354977387
0.5,1,13.5,-2,7.4,5.7,-4.962891876,-1.294703732,-0.163283122,-0.03734814,-1.227807401,-0.028679717,-1.303500168,-0.063809609,-0.319488559,-2.186360929,-0.365571638
0.5,0.9,13.6,-2.5,7.5,5.7,-4.846424452,-1.291458251,-0.350983913,-0.036012799,-1.213651403,-0.027594125,-1.084200483,-0.061273214,-0.28583708,-2.149406238,-0.347957433
0.6,1.1,13.6,-1.5,7.4,5.8,-5.179556646,-1.301454485,-0.748362151,-0.034087598,-1.35321151,-0.023704818,-1.26383024,-0.05695218,-0.288493957,-2.141513417,-0.330271691
0.5,1,13.6,-2,7.4,5.7,-5.027170863,-1.283316936,-0.508375972,-0.035217116,-1.224486618,-0.026597639,-1.232833756,-0.060179464,-0.299218103,-2.17211708,-0.340242197
0.5,1,13.4,-2.5,7.5,5.7,-4.430132749,-1.309886964,0.565432946,-0.039097638,-0.816396785,-0.03106802,-1.307961764,-0.067211969,-0.330550933,-2.179851768,-0.383028966
0.6,1.1,13.7,-1.5,7.4,5.8,-5.105440813,-1.231557401,-0.874897033,-0.032179968,-1.308992135,-0.022029366,-1.194014733,-0.053782627,-0.270432965,-2.142257016,-0.307132887
0.5,1.1,13.4,-2,7.4,5.7,-4.607830403,-1.306942687,0.203590599,-0.038239204,-0.775283585,-0.02980547,-1.472227566,-0.065993344,-0.346960319,-2.111456316,-0.373966467
0.5,1,13.6,-2.5,7.5,5.7,-4.790412595,-1.308835258,-0.428953286,-0.03482806,-0.936672882,-0.02665286,-1.170464283,-0.059859434,-0.290641924,-2.154337839,-0.332370084
0.6,1.2,13.5,-1.5,7.4,5.8,-5.026404673,-1.37269946,-0.598448757,-0.034884536,-1.141741895,-0.024609687,-1.428236605,-0.058827807,-0.312585949,-2.017071909,-0.337608538
0.5,1.1,13.5,-2,7.4,5.7,-4.865445221,-1.336116882,-0.297472371,-0.03609061,-0.869958529,-0.027679466,-1.397871397,-0.06226719,-0.324831807,-2.147264546,-0.348487051
0.5,1.1,13.4,-2.5,7.5,5.7,-4.223089589,-1.351273759,0.370047667,-0.037756022,-0.187850139,-0.029949797,-1.403962009,-0.065587345,-0.336056078,-2.136055963,-0.365018174
0.6,1.2,13.6,-1.5,7.4,5.8,-5.089010091,-1.316829735,-0.813094827,-0.03296561,-1.159472817,-0.02290035,-1.354361108,-0.055567266,-0.292996969,-2.076286263,-0.31434737
0.5,1.1,13.5,-2.5,7.5,5.7,-4.516671712,-1.359015977,-0.17916791,-0.035663903,-0.355870961,-0.027770455,-1.331406792,-0.061915157,-0.3150301,-2.154933973,-0.340344481
0.5,1.1,13.6,-2,7.4,5.7,-4.945147148,-1.301891232,-0.599190474,-0.034058733,-0.928321979,-0.025701555,-1.323875417,-0.058744349,-0.304084443,-2.151219114,-0.324579548
0.6,1.2,13.7,-1.5,7.4,5.8,-5.037436299,-1.232370654,-0.918091056,-0.031140811,-1.154170358,-0.021293924,-1.280995149,-0.052492467,-0.274573903,-2.098753003,-0.29258595
0.6,0.9,13.4,-2,7.4,5.7,-4.749463175,-1.223722311,0.370917396,-0.041932728,-1.389170343,-0.030734185,-1.24621478,-0.06807103,-0.318177063,-2.152360555,-0.430426052
0.6,0.9,13.5,-2,7.4,5.7,-4.995887921,-1.285511966,-0.183559853,-0.039536895,-1.371072954,-0.028461344,-1.180248418,-0.064230669,-0.298664012,-2.188987686,-0.399809839
0.5,1.1,13.6,-2.5,7.5,5.7,-4.63037872,-1.31022582,-0.515440479,-0.033680972,-0.483536616,-0.0257505,-1.259642239,-0.058451301,-0.295252868,-2.145313618,-0.31722262
0.6,0.9,13.6,-2,7.4,5.7,-5.062729345,-1.279612117,-0.523379736,-0.037269074,-1.333304383,-0.026336595,-1.115440441,-0.060613701,-0.280240318,-2.192981787,-0.371222366
0.6,1,13.4,-2,7.4,5.7,-4.686933686,-1.318780036,0.202542658,-0.04048569,-1.112625431,-0.029631022,-1.339381189,-0.066465232,-0.323717349,-2.067775972,-0.409794778
