cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.4,-1,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-4.981183793,-1.083571718,-1.513133688,-0.074134032,-0.275276087,-0.030384034,-0.298468856,-0.073675949,-0.152528856,-1.944942145,-1.172552636,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-1.0_cz=18.3.log
1.4,-0.9,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.044339536,-0.621649057,-1.537776006,-0.082749744,-0.341603894,-0.036050449,-0.342708311,-0.081532374,-0.172238945,-1.975301078,-1.333998409,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-0.9_cz=18.1.log
1.4,-0.9,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.10998022,-0.958866656,-1.538591769,-0.077164905,-0.32095254,-0.032435992,-0.329511776,-0.077083329,-0.164351144,-2.001229791,-1.238554138,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-0.9_cz=18.2.log
1.4,-0.9,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.04548788,-1.139125178,-1.495751661,-0.071931471,-0.301280101,-0.02917294,-0.316691747,-0.072866461,-0.156758273,-1.995237071,-1.143649525,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-0.9_cz=18.3.log
1.4,-0.8,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.016682034,-0.693982134,-1.457523752,-0.080139302,-0.374855649,-0.034563251,-0.364162878,-0.080553459,-0.17698292,-1.955584714,-1.300947457,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-0.8_cz=18.1.log
1.4,-0.8,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.113999422,-1.009594564,-1.489394985,-0.074792917,-0.351593853,-0.031105671,-0.350018803,-0.076167164,-0.168844116,-2.009199169,-1.206538578,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-0.8_cz=18.2.log
1.4,-0.8,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.074914962,-1.175207003,-1.469484093,-0.069766562,-0.329800431,-0.028043422,-0.336251233,-0.072019323,-0.161000241,-2.024215483,-1.113403543,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-0.8_cz=18.3.log
1.5,-0.8,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.037104346,-0.933854107,-1.570218273,-0.080779362,-0.361684214,-0.032981926,-0.35705319,-0.078363449,-0.169766555,-1.790857064,-1.329831742,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-0.8_cz=18.1.log
1.5,-0.8,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.133926002,-1.16655364,-1.556275001,-0.075451802,-0.339056203,-0.029668673,-0.343417398,-0.074171682,-0.162104658,-1.902886424,-1.239551879,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-0.8_cz=18.2.log
1.5,-0.8,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.095283936,-1.271623915,-1.502867625,-0.070444273,-0.317890291,-0.026706825,-0.330139286,-0.070193268,-0.15470004,-1.963102284,-1.147452236,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-0.8_cz=18.3.log
1.6,-0.8,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-4.911749811,-1.134795359,-1.646115607,-0.081287645,-0.348224124,-0.031513552,-0.349686223,-0.076217365,-0.16283257,-1.532925354,-1.343963267,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-0.8_cz=18.1.log
1.6,-0.8,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.038055024,-1.291911313,-1.594622137,-0.075997736,-0.3262801,-0.028319526,-0.336564988,-0.072195026,-0.155603655,-1.720174338,-1.263234106,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-0.8_cz=18.2.log
1.6,-0.8,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.023349327,-1.342865125,-1.514520485,-0.071034132,-0.305791898,-0.025470631,-0.323826536,-0.068392315,-0.148625743,-1.838805103,-1.175771762,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-0.8_cz=18.3.log
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1.5,-0.9,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.144116764,-1.078865393,-1.576223544,-0.078212847,-0.303877993,-0.030785641,-0.32756022,-0.075025096,-0.157900341,-1.941961472,-1.271467037,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.5_cy=-0.9_cz=18.2.log
1.5,-0.8,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.119217167,-1.147282808,-1.54495472,-0.075828308,-0.332868954,-0.029499245,-0.347621715,-0.074159132,-0.162110933,-1.904819155,-1.239100071,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.5_cy=-0.8_cz=18.2.log
1.5,-1,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.114601831,-0.987054405,-1.598449948,-0.080666411,-0.277466097,-0.032128512,-0.308860422,-0.075859684,-0.153721125,-1.941227285,-1.30148084,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.5_cy=-1_cz=18.2.log
1.6,-1,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.111878438,-1.100865893,-1.608596785,-0.081231169,-0.266842352,-0.03073544,-0.303244208,-0.073814001,-0.147747229,-1.869251888,-1.325307395,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.6_cy=-1_cz=18.2.log
1.6,-0.9,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.103824347,-1.19726398,-1.602359335,-0.07878388,-0.292344359,-0.029405119,-0.321347871,-0.073010788,-0.151681717,-1.822973026,-1.295406544,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.6_cy=-0.9_cz=18.2.log
1.4,-0.8,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.096705246,-0.992507467,-1.472069434,-0.075156873,-0.345193251,-0.030955068,-0.354398823,-0.076160889,-0.168850391,-2.010498114,-1.206055395,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.4_cy=-0.8_cz=18.2.log
1.4,-0.9,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.090185417,-0.933803906,-1.523788808,-0.077541411,-0.315204548,-0.032254014,-0.333546665,-0.077058228,-0.164363694,-2.002641689,-1.23805213,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.4_cy=-0.9_cz=18.2.log
1.5,-0.8,18.3,-0.3,7.3,5.9,25.5,2.2,2.1,-5.085723821,-1.258603082,-1.49689373,-0.070783128,-0.31217995,-0.026581324,-0.334180451,-0.070174443,-0.154712591,-1.964156501,-1.147069455,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.5_cy=-0.8_cz=18.3.log
1.5,-0.9,18.3,-0.3,7.3,5.9,25.5,2.2,2.1,-5.080393124,-1.208044602,-1.510222042,-0.072966863,-0.285146819,-0.027660641,-0.315028845,-0.070983931,-0.150715352,-1.971115587,-1.178043348,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.5_cy=-0.9_cz=18.3.log
