cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0,1.4,18.3,7.3,5.9,25.5,-0.1,2.1,-5.548170453,-0.710586049,-0.710586049,-0.024654868,-1.924447668,-0.024654868,-1.924441393,-0.248330807,-2.040135412,-0.541271301,-0.058747486,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.4_cz=18.3.log
-0.2,1.2,18.5,7.3,5.9,25.5,-0.1,2.1,-5.521404014,-0.892093316,-1.017049383,-0.02132279,-1.727133424,-0.024924697,-1.75165024,-0.25666414,-2.093843992,-0.399937223,-0.053871733,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.2_cz=18.5.log
-0.2,1.6,18.5,7.3,5.9,25.5,-0.1,2.1,-5.471109088,-0.944848082,-1.169220558,-0.018662147,-1.814307113,-0.021862448,-1.447803622,-0.214238189,-2.071492086,-0.428915635,-0.048111192,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.6_cz=18.5.log
0,1.6,18.5,7.3,5.9,25.5,-0.1,2.1,-5.424472545,-1.065637482,-1.065637482,-0.020281123,-1.661263699,-0.020281123,-1.661263699,-0.201731915,-1.94839345,-0.478319497,-0.048845379,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.6_cz=18.5.log
-0.2,1.2,18.3,7.3,5.9,25.5,-0.1,2.1,-5.403209368,-0.339351133,-0.644126465,-0.024441515,-1.876041547,-0.028344627,-1.87876494,-0.292306708,-2.190781737,-0.463616938,-0.060968872,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.2_cz=18.3.log
-0.4,1.2,18.3,7.3,5.9,25.5,-0.1,2.1,-5.390188536,-0.270400334,-0.841980368,-0.022427208,-1.827440897,-0.030189506,-1.812914041,-0.315116697,-2.198362058,-0.414551931,-0.059481673,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.2_cz=18.3.log
-0.4,1.4,18.7,7.3,5.9,25.5,-0.1,2.1,-5.380713135,-0.955252198,-1.096881205,-0.015825802,-1.690913546,-0.022063252,-1.605289807,-0.218825287,-2.101066633,-0.323337078,-0.044371232,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.4_cz=18.7.log
0.2,1.4,18.5,7.3,5.9,25.5,-0.1,2.1,-5.365822323,-1.135498171,-0.95916786,-0.023343372,-1.786552346,-0.019954818,-1.862989339,-0.205854656,-1.699479058,-0.514213069,-0.052522587,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.2_cy=1.4_cz=18.5.log
-0.4,1.4,18.3,7.3,5.9,25.5,-0.1,2.1,-5.352293207,-0.352453542,-1.111797118,-0.020902358,-1.968662023,-0.028206574,-1.623719776,-0.285962582,-2.027208706,-0.429976127,-0.056275097,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.4_cz=18.3.log
0.2,1.4,18.3,7.3,5.9,25.5,-0.1,2.1,-5.351979452,-0.917350594,-0.514978632,-0.026474647,-1.808383418,-0.022797438,-1.973663277,-0.231325286,-1.822056861,-0.607009248,-0.059764053,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.2_cy=1.4_cz=18.3.log
-0.2,1.4,18.7,7.3,5.9,25.5,-0.1,2.1,-5.351693934,-0.998117406,-1.071404299,-0.017419678,-1.718379659,-0.020557228,-1.672828708,-0.206356663,-1.994113828,-0.35677081,-0.045099144,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.7.log
0,1.2,18.5,7.3,5.9,25.5,-0.1,2.1,-5.340787811,-0.946241154,-0.946241154,-0.023142569,-1.752522478,-0.023142569,-1.752522478,-0.239194262,-1.880729046,-0.444082552,-0.05487575,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.2_cz=18.5.log
-0.4,1.2,18.7,7.3,5.9,25.5,-0.1,2.1,-5.317111858,-0.975269767,-1.075997672,-0.016880019,-1.52168665,-0.023487699,-1.568530271,-0.239595868,-2.126932595,-0.312914137,-0.04674322,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.2_cz=18.7.log
0,1.6,18.3,7.3,5.9,25.5,-0.1,2.1,-5.284195821,-0.821761995,-0.821768271,-0.023010792,-1.554455222,-0.023010792,-1.554455222,-0.227221371,-2.041233554,-0.561244944,-0.055264806,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.6_cz=18.3.log
0,1.2,18.3,7.3,5.9,25.5,-0.1,2.1,-5.253306641,-0.469157852,-0.469157852,-0.026424446,-1.896272469,-0.026424446,-1.896272469,-0.270990193,-2.008615584,-0.519528079,-0.062318018,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.2_cz=18.3.log
-0.2,1.6,18.7,7.3,5.9,25.5,-0.1,2.1,-5.239783801,-0.960598583,-1.0573669,-0.016352911,-1.744960983,-0.019314758,-1.493097294,-0.189012287,-1.994283256,-0.367990689,-0.042651855,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.6_cz=18.7.log
0.2,1.6,18.5,7.3,5.9,25.5,-0.1,2.1,-5.219810158,-1.169220558,-0.944848082,-0.021862448,-1.447803622,-0.018662147,-1.814307113,-0.189570771,-1.739576947,-0.532887767,-0.049422688,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.2_cy=1.6_cz=18.5.log
-0.2,1.6,18.3,7.3,5.9,25.5,-0.1,2.1,-5.217814676,-0.568166379,-1.058326991,-0.021260039,-1.801775738,-0.024711344,-1.21141433,-0.242683218,-2.078576674,-0.499454034,-0.05427334,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.6_cz=18.3.log
-0.4,1.6,18.5,7.3,5.9,25.5,-0.1,2.1,-5.212929511,-0.821580017,-1.24404485,-0.017030621,-1.895895963,-0.023387298,-1.193599321,-0.227434724,-1.955634915,-0.384839333,-0.047251503,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.6_cz=18.5.log
0,1.4,18.7,7.3,5.9,25.5,-0.1,2.1,-5.195324718,-1.037907815,-1.037907815,-0.019013553,-1.712330463,-0.019013553,-1.712330463,-0.194440248,-1.792268962,-0.393643298,-0.045720379,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.4_cz=18.7.log
-0.2,1.2,18.7,7.3,5.9,25.5,-0.1,2.1,-5.194214025,-0.992538842,-1.044371168,-0.018561746,-1.566490863,-0.021881274,-1.590794326,-0.224918409,-1.959826682,-0.344553191,-0.047596633,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.2_cz=18.7.log
-0.4,1.6,18.7,7.3,5.9,25.5,-0.1,2.1,-5.147078612,-0.897433427,-1.082435925,-0.014840611,-1.79093864,-0.020739205,-1.320475568,-0.199391303,-2.009280745,-0.332925431,-0.042049445,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.6_cz=18.7.log
0.2,1.2,18.5,7.3,5.9,25.5,-0.1,2.1,-5.134224069,-1.017049383,-0.892093316,-0.024924697,-1.75165024,-0.02132279,-1.727133424,-0.222979403,-1.644684885,-0.493762519,-0.055710338,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.2_cy=1.2_cz=18.5.log
0,1.6,18.7,7.3,5.9,25.5,-0.1,2.1,-5.130659812,-1.016177144,-1.016177144,-0.017840109,-1.641202204,-0.017840109,-1.641202204,-0.178796424,-1.826662785,-0.406821008,-0.043160138,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.6_cz=18.7.log
0.2,1.6,18.3,7.3,5.9,25.5,-0.1,2.1,-5.09554749,-1.058326991,-0.568166379,-0.024711344,-1.21141433,-0.021260039,-1.801769463,-0.212638039,-1.854216749,-0.629762761,-0.056105669,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.2_cy=1.6_cz=18.3.log
