cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-0.2,1.4,18.7,7.3,5.9,25.5,0.0,0.0,-2.663193227839656,-0.9981174059212208,-1.0714042987674477,-0.0659011001698672,-0.3431789437308907,-0.0725903566926717,-0.3284952098038047,-0.1934487828984856,-0.4728538853814825,-0.3847954069497064,-0.1722514950670302,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.4_cz=18.7.log
-0.2,1.4,18.7,7.3,5.9,25.5,-0.1,2.1,-5.351693934178911,-0.9981174059212208,-1.0714042987674477,-0.0174196776933968,-1.7183796591125429,-0.0205572275444865,-1.6728287080768496,-0.2063566634897142,-1.9941138280555608,-0.35677081043832,-0.0450991436373442,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.7.log
1.6,0.7,17.9,7.3,5.9,25.5,-0.1,2.1,-4.111153727630153,-1.379618385573849,-0.2564194113947451,-0.056576301343739,-1.0113139413297176,-0.0195971371140331,-1.02565254480578,-0.1996611318318173,-0.6187436854233965,-1.3077057395130396,-0.1104543100809678,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.7_cz=17.9.log
-1.5,-0.5,18.7,7.3,5.9,25.5,-0.1,2.1,-4.278184339753352,-1.1318711624480784,-1.10567889502272,-0.0154304709285497,-0.3521335117984563,-0.0500690229237079,-0.2966930032707751,-0.7330885574920103,-1.8775663959095248,-0.1373682139674201,-0.0542231391882523,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.5_cz=18.7.log
-0.2,-1.2,18.7,7.3,5.9,25.5,0.0,0.0,-2.6142192106926814,-1.044371168129146,-0.9925388421397656,-0.2902610257733613,-0.0800828263163566,-0.3041478218510747,-0.0728350856807082,-0.4543486156035214,-0.2104794043116271,-0.18599396396894,-0.3712788418633863,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.2_cz=18.7.log
-2.1,0.2,17.8,7.3,5.9,25.5,0.0,0.0,-4.447674790513702,-1.8591803528834128,-1.9294489226304,-0.121002753265202,-0.2613390898332,-0.2142444644123315,-0.1671498387586325,-0.9760541544528678,-0.829085037112236,-0.1899284516694024,-0.1764244363876059,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=0.2_cz=17.8.log
-0.2,1.6,18.3,7.3,5.9,25.5,0.0,0.0,-3.1021082350052893,-0.5681663793511689,-1.058326990576461,-0.0747489912901073,-0.5677208472043276,-0.0817645529750734,-0.5521334987133741,-0.2280434090644121,-0.6834274160210043,-0.5384035799652338,-0.2008031998993829,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.6_cz=18.3.log
-1.3,-0.9,18.3,7.3,5.9,25.5,-0.1,2.1,-4.8692140460480005,-1.39962340448983,-0.9565385933965443,-0.0300514539703726,-0.3382153399288654,-0.0724334793630987,-0.2903865275438875,-1.1031123793218285,-1.984839230310172,-0.1629831723403185,-0.0746548647293821,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.9_cz=18.3.log
-0.2,1.6,18.3,7.3,5.9,25.5,-0.1,2.1,-5.217814675997943,-0.5681663793511689,-1.058326990576461,-0.0212600387167185,-1.801775738131255,-0.0247113439254462,-1.2114143299404532,-0.2426832175115123,-2.078576674219221,-0.4994540341431275,-0.0542733398033306,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.6_cz=18.3.log
0.0,-1.6,18.3,7.3,5.9,25.5,0.0,0.0,-3.106525905430317,-0.8217682705726475,-0.8217682705726475,-0.5633157270494848,-0.0784450250212103,-0.5633157270494848,-0.0784450250212103,-0.6073543789098039,-0.2141440624836832,-0.2141440624836832,-0.6073543789098039,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=-1.6_cz=18.3.log
-2.1,0.2,18.0,7.3,5.9,25.5,0.0,0.0,-4.382059207651764,-1.7868661005049944,-1.7965297545306385,-0.1036207263823598,-0.2363767416682094,-0.1947665538173169,-0.1409512963145971,-0.9510039553279056,-0.963817709358409,-0.1749999888706952,-0.162681967485696,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=0.2_cz=18.0.log
1.6,0.7,18.1,7.3,5.9,25.5,-0.1,2.1,-4.365216839360073,-1.5521773605141789,-1.100608614273369,-0.0505961312446743,-1.0727220699191091,-0.0163842861074954,-0.9474585235584528,-0.1827936629997566,-0.5775288286386058,-1.1416038427269086,-0.0933170121861621,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.7_cz=18.1.log
-1.3,-0.9,18.5,7.3,5.9,25.5,-0.1,2.1,-4.560256359633058,-1.314332245150581,-1.1306475182063878,-0.024560741148889,-0.311414387775585,-0.0626631486229598,-0.2561746824067086,-0.9285077217500656,-1.867532510892488,-0.1477660547243431,-0.0665537106106057,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.9_cz=18.5.log
-0.2,1.6,18.5,7.3,5.9,25.5,0.0,0.0,-3.011279300786555,-0.94484808226116,-1.1692205576691777,-0.0668611906003207,-0.4694904319476336,-0.0734751459676772,-0.4531814469955861,-0.201261282316409,-0.5795682361349463,-0.4629957032157108,-0.1789156513987109,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.6_cz=18.5.log
0.0,-1.6,18.5,7.3,5.9,25.5,0.0,0.0,-3.0162523174658418,-1.0656374820973724,-1.0656374820973724,-0.463805191218853,-0.0703313208650797,-0.463805191218853,-0.0703313208650797,-0.5182856095489115,-0.1899535520933568,-0.1899535520933568,-0.5182856095489115,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=-1.6_cz=18.5.log
-2.1,0.2,18.2,7.3,5.9,25.5,0.0,0.0,-4.018238321994431,-1.5852032117545605,-1.5815009027719498,-0.0885353861376643,-0.2132529981900006,-0.1766817157622426,-0.1188001930713653,-0.8695155065506697,-0.956049135653302,-0.1609437647275626,-0.1497427112190053,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=0.2_cz=18.2.log
-0.2,1.6,18.5,7.3,5.9,25.5,-0.1,2.1,-5.471109087578952,-0.94484808226116,-1.1692205576691777,-0.01866214745678,-1.814307112945244,-0.0218624481931328,-1.447803622111678,-0.2142381889279931,-2.071492086397484,-0.4289156352169812,-0.0481111917179077,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.6_cz=18.5.log
-1.3,-0.9,18.7,7.3,5.9,25.5,-0.1,2.1,-4.061897330335341,-1.1319652888923883,-1.0461156459059566,-0.0198983422014862,-0.2861508352216333,-0.054185488494113,-0.226405608234927,-0.7723204827634618,-1.7141627917299047,-0.1337349312379956,-0.0593185201287269,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.9_cz=18.7.log
