cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
1.6,-0.8,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.200579486,-1.34694896,-1.51040653,-0.085312494,-0.288020815,-0.035080319,-0.318347118,-0.070891687,-0.138734303,-1.934285142,-1.264610235
1.4,-0.8,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.200486615,-0.731547393,-1.452862608,-0.096861189,-0.353733662,-0.046271332,-0.359169154,-0.083705441,-0.165346375,-2.042740206,-1.388471924
1.4,-0.9,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.19389023,-0.659619687,-1.531955223,-0.100240957,-0.322983162,-0.048270579,-0.33791539,-0.084682475,-0.161059227,-2.027692516,-1.419963513
1.5,-0.9,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.189697836,-1.236081748,-1.510484341,-0.087591611,-0.273717352,-0.038083582,-0.306078043,-0.07373368,-0.140856542,-1.982887674,-1.266201601
1.6,-0.7,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.189147509,-1.347920345,-1.571318926,-0.088303207,-0.337437227,-0.037093371,-0.351386775,-0.073893695,-0.148821526,-1.782328576,-1.317373786
1.4,-0.7,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.167697335,-1.209420103,-1.433569185,-0.081651601,-0.339912127,-0.036600148,-0.351567498,-0.074083831,-0.154280864,-2.046765055,-1.166207255
1.4,-0.7,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.159491073,-0.777599724,-1.364654782,-0.093580566,-0.38872613,-0.044412648,-0.38214857,-0.08269264,-0.169632896,-2.027646708,-1.353957619
1.4,-0.8,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.15518102,-1.190265988,-1.466392978,-0.084305968,-0.310574779,-0.038116212,-0.330732911,-0.074975522,-0.150419167,-2.021185865,-1.198406048
1.6,-0.7,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.140209887,-1.379969791,-1.505521992,-0.082645577,-0.315288634,-0.033624496,-0.337487428,-0.070077807,-0.142119092,-1.869346643,-1.231397386
1.5,-0.9,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-5.134545354,-0.450296156,-1.607556373,-0.107882774,-0.331895059,-0.051329063,-0.344894556,-0.086757022,-0.16175137,-1.918699676,-1.520410294
1.6,-0.9,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-5.120503563,-0.732565214,-1.703924339,-0.108038397,-0.319563232,-0.049356172,-0.337813733,-0.084087595,-0.155041406,-1.751957092,-1.503786927
1.4,-0.9,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.109451857,-1.15371102,-1.492316672,-0.087043167,-0.284016046,-0.039683732,-0.31152734,-0.075833956,-0.146565001,-1.973715988,-1.229187923
1.6,-0.7,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.105452736,-1.218874169,-1.602596534,-0.094336088,-0.361207306,-0.040893572,-0.365691493,-0.077916662,-0.155772455,-1.635005543,-1.394958495
1.5,-0.8,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-5.09007121,-0.566803428,-1.522430877,-0.104172935,-0.364361171,-0.048999746,-0.366260017,-0.085763674,-0.165986435,-1.856486453,-1.495320562
1.6,-0.8,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-5.026532686,-0.857380718,-1.649379915,-0.104357423,-0.350907357,-0.04708835,-0.358306955,-0.083138172,-0.159001621,-1.616417442,-1.484265091
1.4,-0.9,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-5.00719471,-0.129136538,-1.468402265,-0.107574039,-0.344003492,-0.053418671,-0.351706805,-0.089483553,-0.168703554,-2.013423566,-1.508463131
1.4,-0.8,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-4.986752316,-0.229598379,-1.347481088,-0.10384914,-0.377513781,-0.051035388,-0.374048671,-0.088436239,-0.173222253,-2.003990836,-1.479339765
1.5,-0.7,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-4.971969436,-0.652221344,-1.427241375,-0.100572283,-0.401108157,-0.046883782,-0.389334815,-0.084727028,-0.1702215,-1.744081214,-1.464258817
1.4,-0.7,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-4.90761703,-0.297428445,-1.215209511,-0.100228407,-0.415478136,-0.048851654,-0.398035868,-0.087346254,-0.177750993,-1.959346009,-1.445557764
1.6,-0.7,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-4.840399414,-0.952410833,-1.58571275,-0.100784381,-0.386381752,-0.045030118,-0.380385267,-0.082152354,-0.16297125,-1.412449081,-1.457474179
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.5,-0.9,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.381993883,-0.992727095,-1.667781018,-0.09911395,-0.328168905,-0.047118471,-0.320111676,-0.082177454,-0.154425191,-1.969117595,-1.448763085
