cx,cy,cz,A2,a,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.4,-0.8,13.2,-1.0,7.4,5.8,25.5,2.1,1.9,-5.283018612593878,,,-0.8061972375726327,-1.5409700319869444,-0.0953990902053192,-0.3737022853456437,-0.0468762519303709,-0.3461922468850389,-0.0837148540304042,-0.1652202454279177,-2.038025095476769,-1.3913898456958125,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.240936536923982,,,-1.0343284979462624,-1.4856211398728192,-0.0903513998491689,-0.3315022378228605,-0.0420193246100097,-0.344726383453235,-0.0792250201338902,-0.1577516213874332,-2.046073538658675,-1.293611864966806,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.8_cz=13.3.log
0.2,1.4,13.5,0.0,7.4,5.8,25.5,2.1,1.9,-5.5059980159276165,,,-1.0944025403587148,-0.8359763521002606,-0.0302409618161618,-1.665687644388527,-0.0264834320405498,-1.8149772934848445,-0.0582555182627402,-0.4039106168202124,-2.043563498766161,-0.2663842699839733,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.4_cz=13.5.log
1.4,-0.8,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.332161430851556,,,-1.0986081124283371,-1.5904140549246222,-0.0878162592416629,-0.3696322555188089,-0.0430308706127107,-0.3207642866764217,-0.0792375702876597,-0.157481164613273,-2.0420562197105028,-1.298253556538839,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.8_cz=13.3.log
1.4,-0.8,13.3,-2.0,7.4,5.7,25.5,2.1,1.9,-5.413489864091389,,,-1.0991163953440264,-1.6258068737806752,-0.089431470260024,-0.431197261554189,-0.0456162118352949,-0.3284475192194804,-0.0796554918051697,-0.159267685492523,-2.04895192704862,-1.3158068937482312,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.8_cz=13.3.log
1.4,-0.7,13.0,-1.0,7.4,5.8,25.5,2.1,1.9,-4.56340269499924,,,0.3227158428635448,-1.14756895264145,-0.1055158063536509,-0.4691164358519017,-0.0547552676871418,-0.3990687495097518,-0.0922370674088597,-0.1859908265178091,-1.824905129149556,-1.5336149873328395,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.7_cz=13.0.log
1.4,-0.7,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-4.907617030257825,,,-0.2974284447263926,-1.2152095106430352,-0.1002284071873873,-0.4154781360412016,-0.0488516535842791,-0.3980358680710196,-0.0873462544986978,-0.1777509927051141,-1.9593460090691224,-1.4455577638582326,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.7_cz=13.1.log
1.4,-0.7,13.1,-1.5,7.4,5.8,25.5,2.1,1.9,-5.101121347513981,,,-0.4144810226280242,-1.4868598446482792,-0.0969741403823718,-0.4651254721684381,-0.0502949265064671,-0.3692971650743857,-0.0873054662370123,-0.1773104806197807,-1.943508911703248,-1.4514802032499574,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.7_cz=13.1.log
1.4,-0.8,13.3,-2.5,7.5,5.7,25.5,2.1,1.9,-5.418195561738685,,,-1.0921033438062295,-1.647921581286937,-0.0880735386162996,-0.4568548903334886,-0.046401854371652,-0.3171661442611366,-0.0784349848981946,-0.1557184890261851,-2.063076549675316,-1.2967048618011177,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.8_cz=13.3.log
0.2,1.4,13.6,0.0,7.4,5.8,25.5,2.1,1.9,-5.446680123102851,,,-1.1460604185704142,-0.9766076182713732,-0.0284688738174736,-1.62539522734005,-0.024856926058419,-1.7498041046783328,-0.0548600617330521,-0.3749949559569359,-1.991138803190552,-0.25008971785428,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.4_cz=13.6.log
