cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1.4,-0.9,13.2,7.3,5.9,25.5,-0.2,1.9,-5.022099327,-1.444934646,-0.502354386,-0.045725399,-0.329766545,-0.098291911,-0.280641297,-1.417124031,-2.0064695,-0.16222765,-0.085421054,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.9_cz=13.2.log
-1.4,-0.9,13.4,7.3,5.9,25.5,-0.2,1.9,-5.016437932,-1.458467527,-1.075452994,-0.037693271,-0.304136527,-0.085352655,-0.247729653,-1.230300499,-1.957821787,-0.147506266,-0.076393067,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.9_cz=13.4.log
-1.4,-1,13.3,7.3,5.9,25.5,-0.2,1.9,-5.014215292,-1.525346288,-0.765240915,-0.043242969,-0.298333314,-0.094672434,-0.242284121,-1.355145496,-1.94227711,-0.150529609,-0.081703057,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-1.0_cz=13.3.log
-1.4,-0.7,13.2,7.3,5.9,25.5,-0.2,1.9,-4.999946969,-1.264453985,-0.695722847,-0.042100901,-0.372989434,-0.091741962,-0.335553442,-1.349052374,-1.995155495,-0.171134527,-0.083323288,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.7_cz=13.2.log
-1.4,-1,13.2,7.3,5.9,25.5,-0.2,1.9,-4.95981645,-1.52327174,-0.358407357,-0.047617969,-0.310463083,-0.101710586,-0.257246469,-1.445896619,-1.97036132,-0.157791782,-0.086408127,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-1.0_cz=13.2.log
-1.6,-0.7,13.2,7.3,5.9,25.5,-0.2,1.9,-4.936316828,-1.553541567,-1.125639988,-0.0386132,-0.357250228,-0.092560235,-0.311613936,-1.372734601,-1.588077208,-0.157314247,-0.078581195,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.7_cz=13.2.log
-1.5,-0.9,13.1,7.3,5.9,25.5,-0.2,1.9,-4.903983747,-1.515156781,-0.225171923,-0.048268069,-0.336626484,-0.105828307,-0.288084821,-1.503728568,-1.890010547,-0.163078554,-0.087597886,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.9_cz=13.1.log
-1.6,-0.9,13.1,7.3,5.9,25.5,-0.2,1.9,-4.892790852,-1.642105819,-0.509963572,-0.046352909,-0.329819256,-0.106011539,-0.277309219,-1.473871643,-1.721811511,-0.156392435,-0.084934106,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.9_cz=13.1.log
-1.6,-1,13.1,7.3,5.9,25.5,-0.2,1.9,-4.892170872,-1.695887191,-0.305178193,-0.048473893,-0.31094752,-0.109743969,-0.253561731,-1.486419333,-1.805673203,-0.152289774,-0.085892314,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-1.0_cz=13.1.log
-1.5,-1,13.1,7.3,5.9,25.5,-0.2,1.9,-4.867685432,-1.599479064,-0.022207579,-0.050455569,-0.317075783,-0.109582071,-0.263497724,-1.522940415,-1.916291293,-0.158697279,-0.08860755,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-1.0_cz=13.1.log
-1.5,-0.8,13.1,7.3,5.9,25.5,-0.2,1.9,-4.866102851,-1.420735351,-0.389876983,-0.046266312,-0.357523823,-0.102173688,-0.315219608,-1.476594409,-1.819586354,-0.167475516,-0.086548689,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.8_cz=13.1.log
-1.6,-0.8,13.1,7.3,5.9,25.5,-0.2,1.9,-4.801922384,-1.579189156,-0.679516774,-0.044396332,-0.349915891,-0.102393317,-0.303510272,-1.451965269,-1.576044076,-0.160514548,-0.08393762,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.8_cz=13.1.log
-1.4,-0.9,13.1,7.3,5.9,25.5,-0.2,1.9,-4.774182676,-1.340439171,0.090469372,-0.050302457,-0.343126233,-0.105484431,-0.298665895,-1.501521616,-1.988563502,-0.170001872,-0.090321279,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.9_cz=13.1.log
-1.4,-0.8,13.1,7.3,5.9,25.5,-0.2,1.9,-4.763882727,-1.208931901,-0.061922687,-0.048242969,-0.364946011,-0.101817263,-0.326705551,-1.47073723,-1.972945406,-0.174696274,-0.089220627,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.8_cz=13.1.log
-1.4,-1,13.1,7.3,5.9,25.5,-0.2,1.9,-4.723492419,-1.460524505,0.284530604,-0.052550197,-0.322955552,-0.109253256,-0.273268055,-1.525956855,-1.973807605,-0.165326295,-0.091391184,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-1.0_cz=13.1.log
